"Action Type","n"
"Entry Into Force (Tacit Acceptance); Status based on pre-amendment agreement action of Entry into force",30786
"Entry into force",23157
"Signature",12026
"Entry Into Force (Tacit Acceptance); Status based on post-amendment agreement action of Entry into force",10991
"Ratification",7419
"Accession",4553
"Acceptance",1643
"Withdrawal",709
"Entry Into Force (Tacit Acceptance); Status based on pre-amendment agreement action of Withdrawal or Similar",567
"Entry Into Force (Tacit Acceptance)",411
"Entry Into Force 2",343
"Amendment negotiated by members",337
"Deposit (accession)",272
"Entry Into Force (Tacit Acceptance); Status based on pre-amendment agreement action of Entry into force 2",248
"Approval",241
"Succession",234
"Adherence",210
"Provisional application",197
"Entry Into Force (Tacit Acceptance) - Objection",195
"Denunciation (effective date)",162
"Approbation",158
"Definitive signature",114
"Adhesion",113
"Termination",92
"Entry Into Force (Tacit Acceptance); Status based on post-amendment agreement action of Withdrawal or Similar",72
"Consent To Be Bound",67
"Entry Into Force (Tacit Acceptance) - Removal of Objection",61
"Deposit (ratification)",58
"Notification",54
"Deposit (instrument)",50
"Denunciation",30
"Entry Into Force (Tacit Acceptance); Status based on pre-amendment agreement action of Entry into force 3",27
"Entry Into Force (Tacit Acceptance); Status based on pre-amendment agreement action of Withdrawal or Similar 2",27
"Entry Into Force (Tacit Acceptance); Status based on post-amendment agreement action of Entry into force 2",25
"Deposit (acceptance)",15
"Cooperating Non-Contracting Party",13
"Non-provisional application",12
"Waiver (Art.28)",10
"Deposit (adhesion)",8
"Adoption",6
"Not yet in force",3
"Status follows original agreement",2
"Entry Into Force 3",1
"Partial termination of agreement",1
