"Year","region","countries"
1990,"Africa",48
1990,"Americas",35
1990,"Asia",38
1990,"Europe",30
1990,"Oceania",14
1990,"Other/Unknown",7
1991,"Africa",52
1991,"Americas",37
1991,"Asia",39
1991,"Europe",40
1991,"Oceania",15
1991,"Other/Unknown",4
1992,"Africa",51
1992,"Americas",36
1992,"Asia",44
1992,"Europe",42
1992,"Oceania",15
1992,"Other/Unknown",3
1993,"Africa",51
1993,"Americas",35
1993,"Asia",45
1993,"Europe",42
1993,"Oceania",16
1993,"Other/Unknown",3
1994,"Africa",53
1994,"Americas",35
1994,"Asia",48
1994,"Europe",42
1994,"Oceania",15
1994,"Other/Unknown",3
1995,"Africa",52
1995,"Americas",35
1995,"Asia",48
1995,"Europe",41
1995,"Oceania",15
1995,"Other/Unknown",3
1996,"Africa",54
1996,"Americas",37
1996,"Asia",45
1996,"Europe",44
1996,"Oceania",15
1996,"Other/Unknown",3
1997,"Africa",54
1997,"Americas",37
1997,"Asia",45
1997,"Europe",42
1997,"Oceania",14
1997,"Other/Unknown",4
1998,"Africa",52
1998,"Americas",36
1998,"Asia",44
1998,"Europe",42
1998,"Oceania",15
1998,"Other/Unknown",3
1999,"Africa",52
1999,"Americas",37
1999,"Asia",44
1999,"Europe",42
1999,"Oceania",14
1999,"Other/Unknown",3
2000,"Africa",53
2000,"Americas",35
2000,"Asia",46
2000,"Europe",42
2000,"Oceania",15
2000,"Other/Unknown",5
2001,"Africa",54
2001,"Americas",38
2001,"Asia",46
2001,"Europe",43
2001,"Oceania",15
2001,"Other/Unknown",4
2002,"Africa",53
2002,"Americas",35
2002,"Asia",47
2002,"Europe",43
2002,"Oceania",16
2002,"Other/Unknown",4
2003,"Africa",53
2003,"Americas",37
2003,"Asia",48
2003,"Europe",42
2003,"Oceania",16
2003,"Other/Unknown",8
2004,"Africa",52
2004,"Americas",35
2004,"Asia",46
2004,"Europe",41
2004,"Oceania",16
2004,"Other/Unknown",6
2005,"Africa",53
2005,"Americas",35
2005,"Asia",47
2005,"Europe",43
2005,"Oceania",15
2005,"Other/Unknown",8
2006,"Africa",53
2006,"Americas",35
2006,"Asia",46
2006,"Europe",43
2006,"Oceania",15
2006,"Other/Unknown",9
2007,"Africa",53
2007,"Americas",36
2007,"Asia",47
2007,"Europe",44
2007,"Oceania",15
2007,"Other/Unknown",4
2008,"Africa",53
2008,"Americas",35
2008,"Asia",47
2008,"Europe",43
2008,"Oceania",15
2008,"Other/Unknown",5
2009,"Africa",53
2009,"Americas",35
2009,"Asia",46
2009,"Europe",43
2009,"Oceania",15
2009,"Other/Unknown",5
2010,"Africa",53
2010,"Americas",36
2010,"Asia",48
2010,"Europe",42
2010,"Oceania",16
2010,"Other/Unknown",7
2011,"Africa",53
2011,"Americas",35
2011,"Asia",49
2011,"Europe",43
2011,"Oceania",16
2011,"Other/Unknown",6
2012,"Africa",54
2012,"Americas",35
2012,"Asia",48
2012,"Europe",42
2012,"Oceania",15
2012,"Other/Unknown",6
2013,"Africa",54
2013,"Americas",36
2013,"Asia",47
2013,"Europe",44
2013,"Oceania",15
2013,"Other/Unknown",6
2014,"Africa",54
2014,"Americas",37
2014,"Asia",47
2014,"Europe",42
2014,"Oceania",16
2014,"Other/Unknown",8
2015,"Africa",52
2015,"Americas",34
2015,"Asia",46
2015,"Europe",43
2015,"Oceania",15
2015,"Other/Unknown",6
2016,"Africa",54
2016,"Americas",36
2016,"Asia",48
2016,"Europe",43
2016,"Oceania",15
2016,"Other/Unknown",5
2017,"Africa",54
2017,"Americas",36
2017,"Asia",48
2017,"Europe",44
2017,"Oceania",15
2017,"Other/Unknown",6
2018,"Africa",53
2018,"Americas",35
2018,"Asia",49
2018,"Europe",43
2018,"Oceania",15
2018,"Other/Unknown",4
2019,"Africa",54
2019,"Americas",35
2019,"Asia",49
2019,"Europe",44
2019,"Oceania",15
2019,"Other/Unknown",4
2020,"Africa",54
2020,"Americas",34
2020,"Asia",47
2020,"Europe",44
2020,"Oceania",15
2020,"Other/Unknown",4
2021,"Africa",50
2021,"Americas",34
2021,"Asia",42
2021,"Europe",44
2021,"Oceania",15
2021,"Other/Unknown",4
2022,"Africa",52
2022,"Americas",34
2022,"Asia",44
2022,"Europe",43
2022,"Oceania",15
2022,"Other/Unknown",3
2023,"Africa",53
2023,"Americas",35
2023,"Asia",50
2023,"Europe",43
2023,"Oceania",15
2023,"Other/Unknown",3
2024,"Africa",47
2024,"Americas",36
2024,"Asia",43
2024,"Europe",40
2024,"Oceania",15
2024,"Other/Unknown",3
2025,"Africa",51
2025,"Americas",35
2025,"Asia",48
2025,"Europe",42
2025,"Oceania",16
2025,"Other/Unknown",4
2026,"Africa",38
2026,"Americas",33
2026,"Asia",41
2026,"Europe",38
2026,"Oceania",14
2026,"Other/Unknown",2
