iso3,pc1
KAZ,40.463053553872875
KGZ,40.11935540883839
CUB,40.10007267573479
TUN,34.979649437870805
GEO,32.40312806475118
SWE,28.935420206423682
LBY,28.442164465567235
LCA,28.360593083397035
COL,27.83224590725253
GIN,3.3847327487380507
CYP,2.1334884741080913
RUS,0.8120987060501677
CHN,0.34411669456723054
ARM,0.30357492995211227
MEX,0.2845077459779074
BTN,0.09926562365365246
BLR,-0.005117356852986488
CAN,-0.09780171010214228
UKR,-0.36755248716078837
AZE,-0.4470708901526317
DZA,-0.8186478651037037
SSD,-0.8276916478548655
LBR,-0.9308460625180891
SOM,-0.9962458304941061
KWT,-1.0298775767554111
SRB,-1.0416661701637315
AFG,-1.1270110976748646
AUS,-1.1501103386574796
BDI,-1.20060403194473
ECU,-1.2081847654467184
UZB,-1.2330194260382572
SMR,-1.2366279067077326
COK,-1.2416578807748366
FSM,-1.2416578807748366
KIR,-1.2416578807748366
NIU,-1.2416578807748366
NRU,-1.2416578807748366
TUV,-1.2416578807748366
SYC,-1.251506737060052
TON,-1.2587207388694208
MDA,-1.3167827154716554
WSM,-1.3179150526361592
TKM,-1.323664340510778
SAU,-1.3520730048508518
SLV,-1.35267469110287
TTO,-1.3636932198119425
TWN,-1.3701955705681073
PER,-1.3955465952640853
JAM,-1.4389679469152628
MNE,-1.4408641372702293
COG,-1.4690781070645589
VEN,-1.4863895130538514
BOL,-1.4971842976507665
IRQ,-1.506556820380442
BRA,-1.5120687908560062
JOR,-1.5178751848075238
YEM,-1.523092410944012
OMN,-1.535704057092545
QAT,-1.535824141915072
SYR,-1.5422325569667878
DJI,-1.543068497693006
LKA,-1.545354781395611
ALB,-1.5487784506457514
AND,-1.5493170063958102
ATG,-1.561499265076538
BLZ,-1.561499265076538
BRB,-1.561499265076538
DMA,-1.561499265076538
GRD,-1.561499265076538
GUY,-1.561499265076538
HTI,-1.561499265076538
KNA,-1.561499265076538
SUR,-1.561499265076538
VCT,-1.561499265076538
BIH,-1.564563086166387
MRT,-1.5696974351671116
BHR,-1.5738808340484984
ARE,-1.583803036081487
GNQ,-1.5900218776971928
GTM,-1.5955443834477505
GMB,-1.596440517587502
NGA,-1.596440517587502
SLE,-1.596440517587502
MNG,-1.600156824646408
CAF,-1.6008167758476637
GAB,-1.6008167758476637
TCD,-1.6008167758476637
CPV,-1.6027084775316152
SDN,-1.6027656919994062
EGY,-1.6050543381655766
MAC,-1.6106427478809013
DOM,-1.6214095894982474
GHA,-1.6252248640775666
BFA,-1.6273850937698562
MLI,-1.6273850937698562
NER,-1.6273850937698562
SEN,-1.6273850937698562
TGO,-1.6273850937698562
CMR,-1.629680027710464
LSO,-1.6331417404594901
MDG,-1.6381662185539032
ARG,-1.6384371456261877
PRY,-1.6384371456261877
NPL,-1.6480870491702968
URY,-1.6507529332077262
CRI,-1.6521084226493818
GNB,-1.6526095375216807
MDV,-1.6527077595390942
ERI,-1.6551114086356027
ETH,-1.6551114086356027
CIV,-1.6567273811246188
PSE,-1.6587922694112822
MLT,-1.6651653312341772
MOZ,-1.6663737649305865
BGD,-1.6794901744472512
BWA,-1.6980337298834656
COD,-1.6989086492362322
HKG,-1.7053027327779844
COM,-1.7179712292091625
IRN,-1.7184327142594549
AGO,-1.7255375867103377
KEN,-1.7272280340342596
RWA,-1.7272280340342596
HND,-1.7285885660097027
ZAF,-1.7288061305237579
KHM,-1.7308203078288666
MWI,-1.7311465495235696
ZMB,-1.7311465495235696
AUT,-1.7492664334718966
VUT,-1.7578792818147944
MMR,-1.7686572496628545
SLB,-1.7823809294066115
NIC,-1.7940943287639028
SWZ,-1.794242601502428
FJI,-1.8118601706994475
PNG,-1.8118601706994475
ZWE,-1.813698483524421
LIE,-1.8175203520895327
TZA,-1.8190972142458612
JPN,-1.8216240426037422
USA,-1.8265954140343466
MUS,-1.8330420471137188
IDN,-1.8349981268148998
TJK,-1.839274381090862
TLS,-1.8479189577247994
NAM,-1.8531897615869508
LAO,-1.8547374822902045
CHL,-1.8581378784413491
BRN,-1.8671935782885787
NZL,-1.877671423493243
BHS,-1.881898568511458
THA,-1.9083231886906447
FIN,-1.9194406893129747
ISL,-1.9230739146724694
VNM,-1.9411869029385107
MKD,-1.944180020044473
BEN,-1.9497143734210183
PAK,-1.961055152489924
KOR,-1.9648467835479013
UGA,-1.9797232145280554
CHE,-1.9839831843036246
PAN,-1.9955556298454045
NOR,-2.0089205142062148
HRV,-2.030716736607805
MYS,-2.043440333615244
IND,-2.083395007848284
FRO,-2.088639233089687
LVA,-2.176522919470433
ISR,-2.2035207177336837
EST,-2.2037199302243557
LTU,-2.2100205986391614
POL,-2.3439777584513175
SGP,-2.3797721415290445
HUN,-2.435250444387349
TUR,-2.465548129484302
BGR,-2.4727895866884206
PHL,-2.48469089404237
CZE,-2.570377053573719
LUX,-2.6424358122251155
SVK,-2.702228998915745
SVN,-2.796078115760462
ROU,-2.844827475615189
GBR,-2.8895882082160225
MAR,-2.9136853177672895
BEL,-2.9427034333157485
DEU,-2.9427034333157485
DNK,-2.9427034333157485
ESP,-2.9427034333157485
FRA,-2.9427034333157485
GRC,-2.9427034333157485
IRL,-2.9427034333157485
ITA,-2.9427034333157485
NLD,-2.9427034333157485
PRT,-2.9427034333157485
