item,pc1
unhr_cmw__2015-2018,0.050637303548065164
unhr_cmw__2010-2014,0.02124825767589393
unhr_cmw__1990-1994,0.004723487463325368
unhr_cedaw_op__2015-2018,-0.007753250748438761
unhr_crpd__2015-2018,-0.009012691959875547
unhr_crc_op_ac__2015-2018,-0.039328794272652415
unhr_cedaw_op__2010-2014,-0.039694187222614606
unhr_crc_op_sc__2015-2018,-0.0423443915356682
unhr_cat_op__2000-2004,-0.05303799555165775
unhr_crpd_op__2015-2018,-0.05667219470356372
unhr_crc_op_sc__2010-2014,-0.08715982768594827
unhr_crpd__2010-2014,-0.08816502284162704
unhr_icescr_op__2015-2018,-0.08846675407750161
unhr_cmw__1995-1999,-0.0963899031359536
unhr_ced__2015-2018,-0.09727619492560315
unhr_cat_op__2015-2018,-0.09985164195193298
unhr_crc_op_ac__2010-2014,-0.1078037726625342
unhr_cedaw_op__2005-2009,-0.1078490521694943
unhr_crc_op_ac__2005-2009,-0.11735848410407143
unhr_crpd_op__2010-2014,-0.13022735160817434
unhr_crc_op_sc__2005-2009,-0.1327373177475651
unhr_cmw__2000-2004,-0.14117777487258348
unhr_cmw__2005-2009,-0.15010903257844493
unhr_crc_op_ic__2010-2014,-0.17260200240046633
unhr_ced__2010-2014,-0.2038888841023753
unhr_cat_op__2010-2014,-0.20649682057816282
unhr_ced__2005-2009,-0.21787009640969862
unhr_cat_op__2005-2009,-0.2491219168355599
unhr_crc_op_ic__2015-2018,-0.26789163900239854
unhr_icescr_op__2010-2014,-0.2694030336746218
unhr_crc_op_sc__2000-2004,-0.2779440784442654
unhr_crpd__2005-2009,-0.28393548192847246
unhr_crpd_op__2005-2009,-0.30204625931527207
unhr_crc_op_ac__2000-2004,-0.3094995574604623
unhr_cedaw_op__2000-2004,-0.3272943853824493
