"domain","omega2","iters","conv","cor_dim1_with_baseline","cor_dim2_with_baseline","mean_dim1_p1","mean_dim1_pT","trend_slope_dim1"
"arms_control",0.01,19,1,0.995315079076394,0.996300180967555,-0.0654447743463032,0.00166842613489043,0.0132851658107474
"arms_control",0.05,19,1,0.998627170298969,0.999052036760913,-0.0694914677331412,0.00350208185188634,0.0144100516355523
"arms_control",0.1,19,1,1,1,-0.0739357051047763,0.00498548690161528,0.0155501166436733
"arms_control",0.2,19,1,0.994439986291494,0.997682829790107,-0.0813820799304065,0.00606683091794844,0.017205775159993
"arms_control",0.5,19,1,0.891679483382592,0.980576398062794,-0.0970017878717183,8.50996005405786e-05,0.0191925097797267
"environment",0.01,16,1,0.985613130738026,0.984150474360774,-0.452984099261519,-0.56129238942063,-0.0211890821386009
"environment",0.05,17,1,0.998628207226732,0.99725728939248,-0.495947128019969,-0.600862200660089,-0.0198435976203233
"environment",0.1,17,1,1,1,-0.534212401150192,-0.650728561556392,-0.0211161206157027
"environment",0.2,17,1,0.998638175501502,0.99601974603781,-0.582626881596947,-0.727300494946726,-0.0245403568489435
"environment",0.5,17,1,0.992242957896064,0.976776174599639,-0.62994521591445,-0.847532655534152,-0.033956902661046
"human_rights",0.01,14,1,0.987853192040862,0.99220193656916,0.0275661543289782,0.0269479226090974,0.000506164167485922
"human_rights",0.05,14,1,0.997468096581335,0.998272439759473,0.0313388060018626,0.0373295358603783,0.00192864853719911
"human_rights",0.1,14,1,1,1,0.0337714068974324,0.0460322304863097,0.00337862898445636
"human_rights",0.2,14,1,0.99564605268383,0.996707300815208,0.0358270643453419,0.0577337693117555,0.00574059903645962
"human_rights",0.5,14,1,0.971426219488153,0.976882200739915,0.0374918923780562,0.0808120700461276,0.011196194138316
"intellectual_property",0.01,26,1,0.992941738751316,0.976697827017549,-0.0109573185580307,-0.0287831700950059,-0.00505361697139465
"intellectual_property",0.05,26,1,0.997397472487055,0.995231329299861,-0.0192216166340942,-0.0182819113212831,-0.00159468560730105
"intellectual_property",0.1,25,1,1,1,-0.0300812366739002,-0.00826160840165873,0.00226096569500227
"intellectual_property",0.2,25,1,0.991486654179267,0.993491102066544,-0.0486427253593076,0.00352326002489725,0.00784404047660938
"intellectual_property",0.5,23,1,0.804589138270115,0.961189112631756,-0.0833333528929485,0.0102563544340551,0.0155164824928438
"investment",0.01,21,1,0.996688487385111,0.994194000795989,0.936904070672793,1.2803024718077,0.0662112940479682
"investment",0.05,21,1,0.999272922464174,0.998624912994705,0.966693772907124,1.38133241776647,0.079080418336124
"investment",0.1,21,1,1,1,0.97795103752303,1.46717683332799,0.0925569929772595
"investment",0.2,21,1,0.998386052442674,0.997131545289518,0.969650388765582,1.58133822060196,0.11451493841555
"investment",0.5,21,1,0.987406621183609,0.9795083369852,0.90631810700074,1.78191115243815,0.161110797563461
"security",0.01,23,1,0.979203796116512,0.968385972569959,0.718492287020324,1.0590913284199,0.0628202061265241
"security",0.05,24,1,0.996173744410111,0.99296001568096,0.706783516956122,0.938803667603331,0.0399408363199953
"security",0.1,24,1,1,1,0.709878970872109,0.892463150126586,0.029340277921463
"security",0.2,24,1,0.994890771086088,0.987555236835931,0.708160987361659,0.873447776555936,0.0251304047908368
"security",0.5,24,1,0.97182648907253,0.919401066902749,0.686759154512876,0.937977632168744,0.0409394296187002
