domain,period_5yr,period_3yr,n_countries,cor_dim1,cor_dim2
investment,1990-1994,1990-1992,203,0.8838104266168193,0.8083688191101803
investment,1995-1999,1996-1998,203,0.996815531479313,0.9856952559714969
investment,2000-2004,2002-2004,203,0.9980400513973887,0.9882668733889777
investment,2005-2009,2005-2007,203,0.9984094410705799,0.9892063841488018
investment,2010-2014,2011-2013,203,0.9984818822189594,0.9892722865534406
investment,2015-2018,2017-2018,203,0.9984853718623495,0.9891989011130107
security,1990-1994,1990-1992,164,0.9655842742357765,0.9037879044232932
security,1995-1999,1996-1998,164,0.9775684935160031,0.9099007430833559
security,2000-2004,2002-2004,164,0.9777120354680319,0.9521767022932901
security,2005-2009,2005-2007,164,0.9780981707773316,0.954118072721786
security,2010-2014,2011-2013,164,0.9779245732022258,0.9531856035366757
security,2015-2018,2017-2018,164,0.9776155298196796,0.9523509568639532
environment,1990-1994,1990-1992,206,0.9570085867200383,0.9750555173610185
environment,1995-1999,1996-1998,206,0.9759401896971502,0.9762824569865066
environment,2000-2004,2002-2004,206,0.9854476939934131,0.980214323292557
environment,2005-2009,2005-2007,206,0.9801072675145978,0.976760492784449
environment,2010-2014,2011-2013,206,0.980964373932563,0.9835083702718934
environment,2015-2018,2017-2018,206,0.9905794951906703,0.9829436370297018
human_rights,1990-1994,1990-1992,197,0.882387933349418,-0.3764435877414871
human_rights,1995-1999,1996-1998,197,0.938273648564412,-0.876481138215248
human_rights,2000-2004,2002-2004,197,0.9443066751224545,-0.9238343294177299
human_rights,2005-2009,2005-2007,197,0.9436946361584292,-0.9558309579446309
human_rights,2010-2014,2011-2013,197,0.9469383919305904,-0.9586764266392417
human_rights,2015-2018,2017-2018,197,0.9469838253606111,-0.9590975556518205
arms_control,1990-1994,1990-1992,195,-0.8423971801843285,0.7372598513274604
arms_control,1995-1999,1996-1998,195,0.010415525548768054,0.8624504384736331
arms_control,2000-2004,2002-2004,195,0.6568578875724629,0.9519876411147246
arms_control,2005-2009,2005-2007,195,0.8541598698449694,0.9586785100973425
arms_control,2010-2014,2011-2013,195,0.91367536918861,0.9618818817288008
arms_control,2015-2018,2017-2018,195,0.9181148125864468,0.9645050983130344
intellectual_property,1990-1994,1990-1992,179,0.8829563761214619,-0.5477001944319216
intellectual_property,1995-1999,1996-1998,179,0.9507704196285035,-0.46470599134986346
intellectual_property,2000-2004,2002-2004,179,0.969158972476874,-0.6887114518879577
intellectual_property,2005-2009,2005-2007,179,0.9807137671692338,-0.8793063597771259
intellectual_property,2010-2014,2011-2013,179,0.9814960003489861,-0.8883406587097011
intellectual_property,2015-2018,2017-2018,179,0.9813408069898857,-0.32533369685297214
